"program","instructions","direct calls","indirect calls","functions","funcs in table init","funcs with indirect call index from memory","CFI classes","CFI class size min","CFI class size max","CFI class size avg","CFI class size median"
"real-world/1password-extension/dac34eee5ed4216c65b2.module.wasm.txt:cfi_latex_csv_sum_avg_line:1password-extension",730169,19527,283,1941,596,586,19,1,91,"14,8947368421053",5
"real-world/adobe-cloudview/wasm_acrobat.wasm.txt:cfi_latex_csv_sum_avg_line:adobe-cloudview",1056288,42175,2803,12566,3076,3054,87,1,848,"32,2183908045977",3
"real-world/d3demo/d3wasm.wasm.txt:cfi_latex_csv_sum_avg_line:d3demo",1735381,39337,17903,8239,4449,4408,642,1,3889,"27,886292834891",1
"real-world/figma-web-application/compiled_wasm.wasm.txt:cfi_latex_csv_sum_avg_line:figma-web-application",3168186,118190,10469,13619,3657,3635,68,1,4519,"153,955882352941",6
"real-world/squoosh-imagecodecs/hqx-rs-8c087e0290bb39f1e090.module.wasm.txt:cfi_latex_csv_sum_avg_line:squoosh-imagecodecs",111437,5891,34,73,17,15,4,1,16,"8,5",16
"real-world/squoosh-imagecodecs/mozjpeg_enc.93395.wasm.txt:cfi_latex_csv_sum_avg_line:squoosh-imagecodecs",77684,1059,298,388,135,116,28,1,169,"10,6428571428571",3
"real-world/squoosh-imagecodecs/optipng.4e77b.wasm.txt:cfi_latex_csv_sum_avg_line:squoosh-imagecodecs",119159,2971,169,735,152,124,28,1,34,"6,03571428571429",2
"real-world/squoosh-imagecodecs/webp_dec.fa0ab.wasm.txt:cfi_latex_csv_sum_avg_line:squoosh-imagecodecs",43407,1200,69,563,160,107,20,1,9,"3,45",4
"real-world/squoosh-imagecodecs/webp_enc.ea665.wasm.txt:cfi_latex_csv_sum_avg_line:squoosh-imagecodecs",73089,2311,87,889,165,69,22,1,15,"3,95454545454545",2
"spec_cpu2017/upstream/500.perlbench_r/perlbench_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:500.perlbench",837796,26685,425,2128,980,956,31,1,93,"13,7096774193548",6
"spec_cpu2017/upstream/502.gcc_r/cpugcc_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:502.gcc",2871772,139512,3642,9541,3394,3375,78,1,982,"46,6923076923077",2
"spec_cpu2017/upstream/505.mcf_r/mcf_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:505.mcf",27418,457,44,136,12,8,7,1,28,"6,28571428571429",1
"spec_cpu2017/upstream/508.namd_r/namd_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:508.namd",323031,3678,41,296,124,107,15,1,12,"2,73333333333333",2
"spec_cpu2017/upstream/510.parest_r/parest_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:510.parest",1040442,46224,1229,3762,2864,2714,97,1,199,"12,6701030927835",1
"spec_cpu2017/upstream/511.povray_r/povray_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:511.povray",385391,11752,228,1421,521,510,29,1,57,"7,86206896551724",2
"spec_cpu2017/upstream/519.lbm_r/lbm_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:519.lbm",13390,180,12,80,7,6,5,1,8,"2,4",1
"spec_cpu2017/upstream/520.omnetpp_r/omnetpp_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:520.omnetpp",619334,38324,4536,4615,3569,3505,79,1,1631,"57,4177215189873",1
"spec_cpu2017/upstream/523.xalancbmk_r/cpuxalan_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:523.xalancbmk",1460724,70030,13567,8050,6225,6072,77,1,3893,"176,194805194805",1
"spec_cpu2017/upstream/525.x264_r-fastcomp/ldecod_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:",233043,3776,354,551,129,68,24,1,135,"14,75",4
"spec_cpu2017/upstream/525.x264_r-fastcomp/x264_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:",283564,4677,773,636,253,177,31,1,105,"24,9354838709677",6
"spec_cpu2017/upstream/526.blender_r/blender_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:526.blender",3182291,98122,17198,25901,17387,17263,128,1,5360,"134,359375",2
"spec_cpu2017/upstream/531.deepsjeng_r/deepsjeng_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:531.deepsjeng",52981,888,10,174,10,8,5,1,6,2,1
"spec_cpu2017/upstream/538.imagick_r/imagick_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:538.imagick",517550,17283,1901,1068,91,74,22,1,1592,"86,4090909090909",3
"spec_cpu2017/upstream/541.leela_r/leela_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:541.leela",118808,4981,263,1101,600,520,41,1,74,"6,41463414634146",1
"spec_cpu2017/upstream/544.nab_r/nab_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:544.nab",55588,987,17,201,10,8,6,1,7,"2,83333333333333",1
"spec_cpu2017/upstream/557.xz_r/xz_r.wasm.security-analysis.txt:cfi_latex_csv_sum_avg_line:557.xz",53283,577,71,250,98,86,19,1,11,"3,73684210526316",3
,19191206,700794,76426,98924,48681,47571,,,,,
,,"Percent","9,83325184632408",,"49,2105050341676","48,0884315231895",,,,,
