benchmark;binary;class;size;count
500.perlbench;perlbench_r;0;295;28
500.perlbench;perlbench_r;1;123;147
500.perlbench;perlbench_r;2;48;33
500.perlbench;perlbench_r;3;7;5
500.perlbench;perlbench_r;4;133;57
500.perlbench;perlbench_r;5;3;3
500.perlbench;perlbench_r;6;3;1
500.perlbench;perlbench_r;7;48;2
500.perlbench;perlbench_r;8;22;15
500.perlbench;perlbench_r;9;279;28
500.perlbench;perlbench_r;10;2;1
500.perlbench;perlbench_r;11;20;1
500.perlbench;perlbench_r;12;1;1
500.perlbench;perlbench_r;13;16;8
500.perlbench;perlbench_r;14;7;5
500.perlbench;perlbench_r;15;1;1
500.perlbench;perlbench_r;16;6;11
500.perlbench;perlbench_r;17;5;12
500.perlbench;perlbench_r;18;1;1
500.perlbench;perlbench_r;19;2;1
500.perlbench;perlbench_r;20;19;11
502.gcc;cpugcc_r;0;1;1
502.gcc;cpugcc_r;1;3;6
502.gcc;cpugcc_r;2;5;1
502.gcc;cpugcc_r;3;3;3
502.gcc;cpugcc_r;4;1;1
502.gcc;cpugcc_r;5;2;1
502.gcc;cpugcc_r;6;204;321
502.gcc;cpugcc_r;7;3;3
502.gcc;cpugcc_r;8;47;63
502.gcc;cpugcc_r;9;1;6
502.gcc;cpugcc_r;10;1;2
502.gcc;cpugcc_r;11;1;1
502.gcc;cpugcc_r;12;1;1
502.gcc;cpugcc_r;13;28;8
502.gcc;cpugcc_r;14;1;1
502.gcc;cpugcc_r;15;1;1
502.gcc;cpugcc_r;16;4;3
502.gcc;cpugcc_r;17;3;1
502.gcc;cpugcc_r;18;94;393
502.gcc;cpugcc_r;19;1;2
502.gcc;cpugcc_r;20;698;3
502.gcc;cpugcc_r;21;86;1
502.gcc;cpugcc_r;22;2;3
502.gcc;cpugcc_r;23;339;169
502.gcc;cpugcc_r;24;1;1
502.gcc;cpugcc_r;25;1;1
502.gcc;cpugcc_r;26;1;2
502.gcc;cpugcc_r;27;1;4
502.gcc;cpugcc_r;28;2;1
502.gcc;cpugcc_r;29;86;22
502.gcc;cpugcc_r;30;1;4
502.gcc;cpugcc_r;31;15;4
502.gcc;cpugcc_r;32;117;36
502.gcc;cpugcc_r;33;1;4
502.gcc;cpugcc_r;34;5;2
502.gcc;cpugcc_r;35;239;106
502.gcc;cpugcc_r;36;2;1
502.gcc;cpugcc_r;37;1;1
502.gcc;cpugcc_r;38;3;1
502.gcc;cpugcc_r;39;1;1
502.gcc;cpugcc_r;40;698;137
502.gcc;cpugcc_r;41;1;2
502.gcc;cpugcc_r;42;1;2
502.gcc;cpugcc_r;43;1;1
502.gcc;cpugcc_r;44;1;6
502.gcc;cpugcc_r;45;1;3
502.gcc;cpugcc_r;46;131;833
502.gcc;cpugcc_r;47;1;7
502.gcc;cpugcc_r;48;2;29
502.gcc;cpugcc_r;49;1032;1098
502.gcc;cpugcc_r;50;336;96
502.gcc;cpugcc_r;51;1;2
