benchmark,binary,class,size,count,source
"500.perlbench_r","perlbench_r.wasm",0,4,2,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",1,1,1,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",2,2,2,"i32.load"
"500.perlbench_r","perlbench_r.wasm",3,132,43,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",4,15,3,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",5,294,4,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",6,18,5,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",7,21,7,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",8,279,40,"i32.load"
"500.perlbench_r","perlbench_r.wasm",9,48,12,"i32.load"
"500.perlbench_r","perlbench_r.wasm",10,4,9,"i32.load"
"500.perlbench_r","perlbench_r.wasm",11,2,1,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",12,279,10,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",13,48,24,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",14,18,6,"i32.load"
"500.perlbench_r","perlbench_r.wasm",15,2,1,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",16,123,93,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",17,132,22,"i32.load"
"500.perlbench_r","perlbench_r.wasm",18,1,1,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",19,4,1,"other"
"500.perlbench_r","perlbench_r.wasm",20,1,1,"i32.const"
"500.perlbench_r","perlbench_r.wasm",21,20,2,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",22,6,5,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",23,1,1,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",24,294,24,"i32.load"
"500.perlbench_r","perlbench_r.wasm",25,123,46,"i32.load"
"500.perlbench_r","perlbench_r.wasm",26,15,6,"i32.load"
"500.perlbench_r","perlbench_r.wasm",27,20,28,"i32.load"
"500.perlbench_r","perlbench_r.wasm",28,5,12,"local.(get|tee)"
"500.perlbench_r","perlbench_r.wasm",29,21,8,"i32.load"
"500.perlbench_r","perlbench_r.wasm",30,6,5,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",0,47,36,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",1,1030,982,"i32.load"
"502.gcc_r","cpugcc_r.wasm",2,1030,118,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",3,4,4,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",4,100,35,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",5,3,2,"i32.load"
"502.gcc_r","cpugcc_r.wasm",6,1,2,"i32.const"
"502.gcc_r","cpugcc_r.wasm",7,1,3,"i32.load"
"502.gcc_r","cpugcc_r.wasm",8,1,2,"i32.const"
"502.gcc_r","cpugcc_r.wasm",9,338,95,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",10,336,1,"other"
"502.gcc_r","cpugcc_r.wasm",11,85,1,"other"
"502.gcc_r","cpugcc_r.wasm",12,2,2,"i32.load"
"502.gcc_r","cpugcc_r.wasm",13,700,92,"i32.load"
"502.gcc_r","cpugcc_r.wasm",14,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",15,115,1,"other"
"502.gcc_r","cpugcc_r.wasm",16,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",17,1,4,"i32.const"
"502.gcc_r","cpugcc_r.wasm",18,1,2,"i32.const"
"502.gcc_r","cpugcc_r.wasm",19,204,326,"i32.load"
"502.gcc_r","cpugcc_r.wasm",20,338,83,"i32.load"
"502.gcc_r","cpugcc_r.wasm",21,4,2,"i32.load"
"502.gcc_r","cpugcc_r.wasm",22,47,29,"i32.load"
"502.gcc_r","cpugcc_r.wasm",23,27,3,"i32.load"
"502.gcc_r","cpugcc_r.wasm",24,1,2,"i32.const"
"502.gcc_r","cpugcc_r.wasm",25,336,40,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",26,131,178,"i32.load"
"502.gcc_r","cpugcc_r.wasm",27,100,2,"other"
"502.gcc_r","cpugcc_r.wasm",28,14,2,"other"
"502.gcc_r","cpugcc_r.wasm",29,1,1,"i32.load"
"502.gcc_r","cpugcc_r.wasm",30,2,2,"i32.load"
"502.gcc_r","cpugcc_r.wasm",31,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",32,1,29,"i32.load"
"502.gcc_r","cpugcc_r.wasm",33,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",34,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",35,27,1,"other"
"502.gcc_r","cpugcc_r.wasm",36,115,6,"i32.load"
"502.gcc_r","cpugcc_r.wasm",37,338,1,"other"
"502.gcc_r","cpugcc_r.wasm",38,2,2,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",39,4,1,"i32.load"
"502.gcc_r","cpugcc_r.wasm",40,2,1,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",41,700,61,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",42,239,92,"i32.load"
"502.gcc_r","cpugcc_r.wasm",43,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",44,1,1,"i32.load"
"502.gcc_r","cpugcc_r.wasm",45,204,94,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",46,1,3,"i32.const"
"502.gcc_r","cpugcc_r.wasm",47,336,68,"i32.load"
"502.gcc_r","cpugcc_r.wasm",48,700,3,"other"
"502.gcc_r","cpugcc_r.wasm",49,239,21,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",50,1,4,"i32.const"
"502.gcc_r","cpugcc_r.wasm",51,2,1,"i32.load"
"502.gcc_r","cpugcc_r.wasm",52,3,1,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",53,100,387,"i32.load"
"502.gcc_r","cpugcc_r.wasm",54,85,23,"i32.load"
"502.gcc_r","cpugcc_r.wasm",55,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",56,1,2,"i32.const"
"502.gcc_r","cpugcc_r.wasm",57,239,1,"other"
"502.gcc_r","cpugcc_r.wasm",58,14,2,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",59,2,4,"i32.load"
"502.gcc_r","cpugcc_r.wasm",60,27,4,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",61,131,1,"other"
"502.gcc_r","cpugcc_r.wasm",62,1,1,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",63,85,8,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",64,1,6,"i32.const"
"502.gcc_r","cpugcc_r.wasm",65,1,7,"i32.const"
"502.gcc_r","cpugcc_r.wasm",66,1030,7,"other"
"502.gcc_r","cpugcc_r.wasm",67,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",68,1,1,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",69,204,4,"other"
"502.gcc_r","cpugcc_r.wasm",70,47,1,"other"
"502.gcc_r","cpugcc_r.wasm",71,115,30,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",72,2,1,"local.(get|tee)"
"502.gcc_r","cpugcc_r.wasm",73,1,4,"i32.const"
"502.gcc_r","cpugcc_r.wasm",74,1,6,"i32.const"
"502.gcc_r","cpugcc_r.wasm",75,1,1,"i32.const"
"502.gcc_r","cpugcc_r.wasm",76,1,2,"i32.const"
"502.gcc_r","cpugcc_r.wasm",77,131,689,"local.(get|tee)"
"505.mcf_r","mcf_r.wasm",0,0,1,"i32.const"
"505.mcf_r","mcf_r.wasm",1,2,1,"i32.load"
"505.mcf_r","mcf_r.wasm",2,4,7,"i32.load"
"505.mcf_r","mcf_r.wasm",3,2,1,"i32.load"
"505.mcf_r","mcf_r.wasm",4,1,5,"i32.const"
"505.mcf_r","mcf_r.wasm",5,2,28,"local.(get|tee)"
"505.mcf_r","mcf_r.wasm",6,1,1,"local.(get|tee)"
"508.namd_r","namd_r.wasm",0,73,1,"local.(get|tee)"
"508.namd_r","namd_r.wasm",1,1,1,"local.(get|tee)"
"508.namd_r","namd_r.wasm",2,7,2,"local.(get|tee)"
"508.namd_r","namd_r.wasm",3,73,12,"i32.load"
"508.namd_r","namd_r.wasm",4,5,1,"local.(get|tee)"
"508.namd_r","namd_r.wasm",5,2,1,"i32.load"
"508.namd_r","namd_r.wasm",6,6,1,"local.(get|tee)"
"508.namd_r","namd_r.wasm",7,2,3,"i32.load"
"508.namd_r","namd_r.wasm",8,2,2,"local.(get|tee)"
"508.namd_r","namd_r.wasm",9,2,2,"i32.load"
"508.namd_r","namd_r.wasm",10,6,9,"i32.load"
"508.namd_r","namd_r.wasm",11,1,1,"local.(get|tee)"
"508.namd_r","namd_r.wasm",12,20,2,"i32.load"
"508.namd_r","namd_r.wasm",13,2,2,"i32.load"
"508.namd_r","namd_r.wasm",14,20,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",0,34,10,"i32.load"
"510.parest_r","parest_r.wasm",1,42,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",2,3,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",3,3,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",4,5,1,"i32.load"
"510.parest_r","parest_r.wasm",5,22,1,"other"
"510.parest_r","parest_r.wasm",6,69,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",7,122,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",8,10,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",9,3,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",10,5,3,"i32.load"
"510.parest_r","parest_r.wasm",11,378,2,"other"
"510.parest_r","parest_r.wasm",12,22,1,"other"
"510.parest_r","parest_r.wasm",13,4,1,"i32.load"
"510.parest_r","parest_r.wasm",14,465,2,"other"
"510.parest_r","parest_r.wasm",15,69,9,"i32.load"
"510.parest_r","parest_r.wasm",16,10,5,"i32.load"
"510.parest_r","parest_r.wasm",17,378,131,"i32.load"
"510.parest_r","parest_r.wasm",18,34,2,"other"
"510.parest_r","parest_r.wasm",19,2,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",20,42,1,"other"
"510.parest_r","parest_r.wasm",21,11,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",22,10,1,"other"
"510.parest_r","parest_r.wasm",23,3,1,"local.(get|tee)"
"510.parest_r","parest_r.wasm",24,253,1,"local.(get|tee)"
