,increment_sum_abs,funccount,funccount_cum,funccount_cum_neg,percent,percent_cum,percent_cum_neg
0,0,64561,64561,32651,66.41258280870674,66.41258280870674,33.587417191293255
1,16,13620,78181,19031,14.010615973336627,80.42319878204337,19.57680121795663
2,32,5360,83541,13671,5.51372258568901,85.93692136773238,14.063078632267619
3,48,2852,86393,10819,2.9337941817882567,88.87071554952064,11.12928445047936
4,64,1829,88222,8990,1.8814549644076866,90.75217051392832,9.24782948607168
5,80,1189,89411,7801,1.2231000288030285,91.97527054273135,8.024729457268649
6,96,972,90383,6829,0.9998765584495741,92.97514710118092,7.024852898819077
7,112,702,91085,6127,0.7221330699913592,93.69728017117228,6.302719828827719
8,128,589,91674,5538,0.6058922766736616,94.30317244784594,5.696827552154062
9,144,543,92217,4995,0.5585730156770768,94.86174546352302,5.138254536476978
10,160,419,92636,4576,0.4310167469036745,95.2927622104267,4.707237789573298
11,176,249,92885,4327,0.2561412171336872,95.54890342756039,4.45109657243961
12,192,302,93187,4025,0.3106612352384479,95.85956466279883,4.140435337201168
13,208,235,93422,3790,0.2417397029173353,96.10130436571616,3.8986956342838397
14,224,174,93596,3616,0.17899024811751638,96.28029461383368,3.719705386166325
15,240,170,93766,3446,0.17487552976998724,96.45517014360367,3.5448298563963334
16,256,225,93991,3221,0.2314529070485125,96.68662305065217,3.313376949347827
17,272,215,94206,3006,0.22116611117968973,96.90778916183186,3.0922108381681426
18,288,153,94359,2853,0.15738797679298852,97.06517713862485,2.934822861375153
19,304,116,94475,2737,0.11932683207834423,97.18450397070319,2.81549602929681
20,320,74,94549,2663,0.07612228942928856,97.26062626013248,2.739373739867517
21,336,73,94622,2590,0.07509360984240629,97.3357198699749,2.664280130025105
22,352,107,94729,2483,0.11006871579640375,97.4457885857713,2.5542114142287033
23,368,77,94806,2406,0.0792083281899354,97.52499691396123,2.475003086038768
24,384,90,94896,2316,0.09258116281940501,97.61757807678063,2.3824219232193684
25,400,60,94956,2256,0.061720775212936674,97.67929885199356,2.3207011480064352
26,416,98,95054,2158,0.10081059951446324,97.78010945150803,2.219890548491975
27,432,68,95122,2090,0.0699502119079949,97.85005966341602,2.149940336583981
28,448,60,95182,2030,0.061720775212936674,97.91178043862895,2.088219561371048
29,464,42,95224,1988,0.043204542649055676,97.954984981278,2.0450150187219975
30,480,46,95270,1942,0.04731926099658478,98.00230424227459,1.9976957577254097
31,496,72,95342,1870,0.074064930255524,98.07636917253011,1.9236308274698928
32,512,61,95403,1809,0.06274945479981894,98.13911862732992,1.8608813726700788
33,528,51,95454,1758,0.05246265893099618,98.19158128626091,1.808418713739087
34,544,34,95488,1724,0.03497510595399745,98.22655639221492,1.773443607785083
35,560,81,95569,1643,0.08332304653746452,98.30987943875238,1.6901205612476247
36,576,15,95584,1628,0.015430193803234168,98.32530963255562,1.6746903674443843
37,592,32,95616,1596,0.03291774678023289,98.35822737933584,1.641772620664156
38,608,21,95637,1575,0.021602271324527838,98.37982965066037,1.6201703493396309
39,624,46,95683,1529,0.04731926099658478,98.42714891165696,1.572851088343043
40,640,19,95702,1510,0.01954491215076328,98.44669382380772,1.5533061761922795
41,656,22,95724,1488,0.022630950911410114,98.46932477471913,1.5306752252808735
42,672,17,95741,1471,0.017487552976998725,98.48681232769613,1.5131876723038715
43,688,21,95762,1450,0.021602271324527838,98.50841459902065,1.4915854009793463
44,704,13,95775,1437,0.013372834629469614,98.52178743365012,1.4782125663498817
45,720,18,95793,1419,0.018516232563881,98.540303666214,1.459696333785999
46,736,12,95805,1407,0.012344155042587335,98.55264782125658,1.4473521787434152
47,752,9,95814,1398,0.0092581162819405,98.56190593753853,1.4380940624614738
