benchmark,binary,funccount,percent,sp_increments,increment_sum,increment_sum_abs
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-16400]",-16400,16400
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-12288]",-12288,12288
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-8960]",-8960,8960
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-8208]",-8208,8208
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-6624]",-6624,6624
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-4192]",-4192,4192
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-2816]",-2816,2816
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-2608]",-2608,2608
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-2304]",-2304,2304
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-2192]",-2192,2192
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-2112]",-2112,2112
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1904]",-1904,1904
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1872]",-1872,1872
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1776]",-1776,1776
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1568]",-1568,1568
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1472]",-1472,1472
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1408]",-1408,1408
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1296]",-1296,1296
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-1280]",-1280,1280
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-624]",-624,624
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-608]",-608,608
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-592]",-592,592
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-544]",-544,544
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-464]",-464,464
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-448]",-448,448
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-400]",-400,400
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-352]",-352,352
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-288]",-288,288
"500.perlbench_r","perlbench_r.wasm",1,0.048590865,"[-224]",-224,224
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-8192]",-8192,8192
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-752]",-752,752
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-640]",-640,640
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-576]",-576,576
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-528]",-528,528
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-496]",-496,496
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-384]",-384,384
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-368]",-368,368
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-320]",-320,320
"500.perlbench_r","perlbench_r.wasm",2,0.09718173,"[-304]",-304,304
"500.perlbench_r","perlbench_r.wasm",3,0.14577259,"[-4112]",-4112,4112
"500.perlbench_r","perlbench_r.wasm",3,0.14577259,"[-4096]",-4096,4096
"500.perlbench_r","perlbench_r.wasm",3,0.14577259,"[-1056]",-1056,1056
"500.perlbench_r","perlbench_r.wasm",3,0.14577259,"[-432]",-432,432
"500.perlbench_r","perlbench_r.wasm",3,0.14577259,"[-336]",-336,336
"500.perlbench_r","perlbench_r.wasm",4,0.19436346,"[-560]",-560,560
"500.perlbench_r","perlbench_r.wasm",5,0.24295433,"[-192]",-192,192
